DateID,FullDate,DayName,DayOfWeek,DayOfMonth,WeekOfYear,MonthName,MonthOfYear,Quarter,Year,WeekdayFlag,IsCurrent,StartDate,EndDate
20090101,2009-01-01,Thursday,4.0,1.0,1.0,January,1.0,1.0,2009.0,Weekday,1,,
20090102,2009-01-02,Friday,5.0,2.0,1.0,January,1.0,1.0,2009.0,Weekday,1,,
20090103,2009-01-03,Saturday,6.0,3.0,1.0,January,1.0,1.0,2009.0,Weekend,1,,
20090104,2009-01-04,Sunday,7.0,4.0,1.0,January,1.0,1.0,2009.0,Weekend,1,,
20090105,2009-01-05,Monday,1.0,5.0,2.0,January,1.0,1.0,2009.0,Weekday,1,,
20090106,2009-01-06,Tuesday,2.0,6.0,2.0,January,1.0,1.0,2009.0,Weekday,1,,
20090107,2009-01-07,Wednesday,3.0,7.0,2.0,January,1.0,1.0,2009.0,Weekday,1,,
20090108,2009-01-08,Thursday,4.0,8.0,2.0,January,1.0,1.0,2009.0,Weekday,1,,
20090109,2009-01-09,Friday,5.0,9.0,2.0,January,1.0,1.0,2009.0,Weekday,1,,
20090110,2009-01-10,Saturday,6.0,10.0,2.0,January,1.0,1.0,2009.0,Weekend,1,,
20090111,2009-01-11,Sunday,7.0,11.0,2.0,January,1.0,1.0,2009.0,Weekend,1,,
20090112,2009-01-12,Monday,1.0,12.0,3.0,January,1.0,1.0,2009.0,Weekday,1,,
20090113,2009-01-13,Tuesday,2.0,13.0,3.0,January,1.0,1.0,2009.0,Weekday,1,,
20090114,2009-01-14,Wednesday,3.0,14.0,3.0,January,1.0,1.0,2009.0,Weekday,1,,
20090115,2009-01-15,Thursday,4.0,15.0,3.0,January,1.0,1.0,2009.0,Weekday,1,,
20090116,2009-01-16,Friday,5.0,16.0,3.0,January,1.0,1.0,2009.0,Weekday,1,,
20090117,2009-01-17,Saturday,6.0,17.0,3.0,January,1.0,1.0,2009.0,Weekend,1,,
20090118,2009-01-18,Sunday,7.0,18.0,3.0,January,1.0,1.0,2009.0,Weekend,1,,
20090119,2009-01-19,Monday,1.0,19.0,4.0,January,1.0,1.0,2009.0,Weekday,1,,
20090120,2009-01-20,Tuesday,2.0,20.0,4.0,January,1.0,1.0,2009.0,Weekday,1,,
20090121,2009-01-21,Wednesday,3.0,21.0,4.0,January,1.0,1.0,2009.0,Weekday,1,,
20090122,2009-01-22,Thursday,4.0,22.0,4.0,January,1.0,1.0,2009.0,Weekday,1,,
20090123,2009-01-23,Friday,5.0,23.0,4.0,January,1.0,1.0,2009.0,Weekday,1,,
20090124,2009-01-24,Saturday,6.0,24.0,4.0,January,1.0,1.0,2009.0,Weekend,1,,
20090125,2009-01-25,Sunday,7.0,25.0,4.0,January,1.0,1.0,2009.0,Weekend,1,,
20090126,2009-01-26,Monday,1.0,26.0,5.0,January,1.0,1.0,2009.0,Weekday,1,,
20090127,2009-01-27,Tuesday,2.0,27.0,5.0,January,1.0,1.0,2009.0,Weekday,1,,
20090128,2009-01-28,Wednesday,3.0,28.0,5.0,January,1.0,1.0,2009.0,Weekday,1,,
20090129,2009-01-29,Thursday,4.0,29.0,5.0,January,1.0,1.0,2009.0,Weekday,1,,
20090130,2009-01-30,Friday,5.0,30.0,5.0,January,1.0,1.0,2009.0,Weekday,1,,
20090131,2009-01-31,Saturday,6.0,31.0,5.0,January,1.0,1.0,2009.0,Weekend,1,,
20090201,2009-02-01,Sunday,7.0,1.0,5.0,February,2.0,1.0,2009.0,Weekend,1,,
20090202,2009-02-02,Monday,1.0,2.0,6.0,February,2.0,1.0,2009.0,Weekday,1,,
20090203,2009-02-03,Tuesday,2.0,3.0,6.0,February,2.0,1.0,2009.0,Weekday,1,,
20090204,2009-02-04,Wednesday,3.0,4.0,6.0,February,2.0,1.0,2009.0,Weekday,1,,
20090205,2009-02-05,Thursday,4.0,5.0,6.0,February,2.0,1.0,2009.0,Weekday,1,,
20090206,2009-02-06,Friday,5.0,6.0,6.0,February,2.0,1.0,2009.0,Weekday,1,,
20090207,2009-02-07,Saturday,6.0,7.0,6.0,February,2.0,1.0,2009.0,Weekend,1,,
20090208,2009-02-08,Sunday,7.0,8.0,6.0,February,2.0,1.0,2009.0,Weekend,1,,
20090209,2009-02-09,Monday,1.0,9.0,7.0,February,2.0,1.0,2009.0,Weekday,1,,
20090210,2009-02-10,Tuesday,2.0,10.0,7.0,February,2.0,1.0,2009.0,Weekday,1,,
20090211,2009-02-11,Wednesday,3.0,11.0,7.0,February,2.0,1.0,2009.0,Weekday,1,,
20090212,2009-02-12,Thursday,4.0,12.0,7.0,February,2.0,1.0,2009.0,Weekday,1,,
20090213,2009-02-13,Friday,5.0,13.0,7.0,February,2.0,1.0,2009.0,Weekday,1,,
20090214,2009-02-14,Saturday,6.0,14.0,7.0,February,2.0,1.0,2009.0,Weekend,1,,
20090215,2009-02-15,Sunday,7.0,15.0,7.0,February,2.0,1.0,2009.0,Weekend,1,,
20090216,2009-02-16,Monday,1.0,16.0,8.0,February,2.0,1.0,2009.0,Weekday,1,,
20090217,2009-02-17,Tuesday,2.0,17.0,8.0,February,2.0,1.0,2009.0,Weekday,1,,
20090218,2009-02-18,Wednesday,3.0,18.0,8.0,February,2.0,1.0,2009.0,Weekday,1,,
20090219,2009-02-19,Thursday,4.0,19.0,8.0,February,2.0,1.0,2009.0,Weekday,1,,
20090220,2009-02-20,Friday,5.0,20.0,8.0,February,2.0,1.0,2009.0,Weekday,1,,
20090221,2009-02-21,Saturday,6.0,21.0,8.0,February,2.0,1.0,2009.0,Weekend,1,,
20090222,2009-02-22,Sunday,7.0,22.0,8.0,February,2.0,1.0,2009.0,Weekend,1,,
20090223,2009-02-23,Monday,1.0,23.0,9.0,February,2.0,1.0,2009.0,Weekday,1,,
20090224,2009-02-24,Tuesday,2.0,24.0,9.0,February,2.0,1.0,2009.0,Weekday,1,,
20090225,2009-02-25,Wednesday,3.0,25.0,9.0,February,2.0,1.0,2009.0,Weekday,1,,
20090226,2009-02-26,Thursday,4.0,26.0,9.0,February,2.0,1.0,2009.0,Weekday,1,,
20090227,2009-02-27,Friday,5.0,27.0,9.0,February,2.0,1.0,2009.0,Weekday,1,,
20090228,2009-02-28,Saturday,6.0,28.0,9.0,February,2.0,1.0,2009.0,Weekend,1,,
20090301,2009-03-01,Sunday,7.0,1.0,9.0,March,3.0,1.0,2009.0,Weekend,1,,
20090302,2009-03-02,Monday,1.0,2.0,10.0,March,3.0,1.0,2009.0,Weekday,1,,
20090303,2009-03-03,Tuesday,2.0,3.0,10.0,March,3.0,1.0,2009.0,Weekday,1,,
20090304,2009-03-04,Wednesday,3.0,4.0,10.0,March,3.0,1.0,2009.0,Weekday,1,,
20090305,2009-03-05,Thursday,4.0,5.0,10.0,March,3.0,1.0,2009.0,Weekday,1,,
20090306,2009-03-06,Friday,5.0,6.0,10.0,March,3.0,1.0,2009.0,Weekday,1,,
20090307,2009-03-07,Saturday,6.0,7.0,10.0,March,3.0,1.0,2009.0,Weekend,1,,
20090308,2009-03-08,Sunday,7.0,8.0,10.0,March,3.0,1.0,2009.0,Weekend,1,,
20090309,2009-03-09,Monday,1.0,9.0,11.0,March,3.0,1.0,2009.0,Weekday,1,,
20090310,2009-03-10,Tuesday,2.0,10.0,11.0,March,3.0,1.0,2009.0,Weekday,1,,
20090311,2009-03-11,Wednesday,3.0,11.0,11.0,March,3.0,1.0,2009.0,Weekday,1,,
20090312,2009-03-12,Thursday,4.0,12.0,11.0,March,3.0,1.0,2009.0,Weekday,1,,
20090313,2009-03-13,Friday,5.0,13.0,11.0,March,3.0,1.0,2009.0,Weekday,1,,
20090314,2009-03-14,Saturday,6.0,14.0,11.0,March,3.0,1.0,2009.0,Weekend,1,,
20090315,2009-03-15,Sunday,7.0,15.0,11.0,March,3.0,1.0,2009.0,Weekend,1,,
20090316,2009-03-16,Monday,1.0,16.0,12.0,March,3.0,1.0,2009.0,Weekday,1,,
20090317,2009-03-17,Tuesday,2.0,17.0,12.0,March,3.0,1.0,2009.0,Weekday,1,,
20090318,2009-03-18,Wednesday,3.0,18.0,12.0,March,3.0,1.0,2009.0,Weekday,1,,
20090319,2009-03-19,Thursday,4.0,19.0,12.0,March,3.0,1.0,2009.0,Weekday,1,,
20090320,2009-03-20,Friday,5.0,20.0,12.0,March,3.0,1.0,2009.0,Weekday,1,,
20090321,2009-03-21,Saturday,6.0,21.0,12.0,March,3.0,1.0,2009.0,Weekend,1,,
20090322,2009-03-22,Sunday,7.0,22.0,12.0,March,3.0,1.0,2009.0,Weekend,1,,
20090323,2009-03-23,Monday,1.0,23.0,13.0,March,3.0,1.0,2009.0,Weekday,1,,
20090324,2009-03-24,Tuesday,2.0,24.0,13.0,March,3.0,1.0,2009.0,Weekday,1,,
20090325,2009-03-25,Wednesday,3.0,25.0,13.0,March,3.0,1.0,2009.0,Weekday,1,,
20090326,2009-03-26,Thursday,4.0,26.0,13.0,March,3.0,1.0,2009.0,Weekday,1,,
20090327,2009-03-27,Friday,5.0,27.0,13.0,March,3.0,1.0,2009.0,Weekday,1,,
20090328,2009-03-28,Saturday,6.0,28.0,13.0,March,3.0,1.0,2009.0,Weekend,1,,
20090329,2009-03-29,Sunday,7.0,29.0,13.0,March,3.0,1.0,2009.0,Weekend,1,,
20090330,2009-03-30,Monday,1.0,30.0,14.0,March,3.0,1.0,2009.0,Weekday,1,,
20090331,2009-03-31,Tuesday,2.0,31.0,14.0,March,3.0,1.0,2009.0,Weekday,1,,
20090401,2009-04-01,Wednesday,3.0,1.0,14.0,April,4.0,2.0,2009.0,Weekday,1,,
20090402,2009-04-02,Thursday,4.0,2.0,14.0,April,4.0,2.0,2009.0,Weekday,1,,
20090403,2009-04-03,Friday,5.0,3.0,14.0,April,4.0,2.0,2009.0,Weekday,1,,
20090404,2009-04-04,Saturday,6.0,4.0,14.0,April,4.0,2.0,2009.0,Weekend,1,,
20090405,2009-04-05,Sunday,7.0,5.0,14.0,April,4.0,2.0,2009.0,Weekend,1,,
20090406,2009-04-06,Monday,1.0,6.0,15.0,April,4.0,2.0,2009.0,Weekday,1,,
20090407,2009-04-07,Tuesday,2.0,7.0,15.0,April,4.0,2.0,2009.0,Weekday,1,,
20090408,2009-04-08,Wednesday,3.0,8.0,15.0,April,4.0,2.0,2009.0,Weekday,1,,
20090409,2009-04-09,Thursday,4.0,9.0,15.0,April,4.0,2.0,2009.0,Weekday,1,,
