TrackId,TrackName,MediaTypeName,GenreName,ArtistName,IsCurrent,StartDate,EndDate
1,For Those About To Rock (We Salute You),MPEG audio file,Rock,AC/DC,1,,
2,Balls to the Wall,Protected AAC audio file,Rock,Accept,1,,
3,Fast As a Shark,Protected AAC audio file,Rock,Accept,1,,
4,Restless and Wild,Protected AAC audio file,Rock,Accept,1,,
5,Princess of the Dawn,Protected AAC audio file,Rock,Accept,1,,
6,Put The Finger On You,MPEG audio file,Rock,AC/DC,1,,
7,Let's Get It Up,MPEG audio file,Rock,AC/DC,1,,
8,Inject The Venom,MPEG audio file,Rock,AC/DC,1,,
9,Snowballed,MPEG audio file,Rock,AC/DC,1,,
10,Evil Walks,MPEG audio file,Rock,AC/DC,1,,
11,C.O.D.,MPEG audio file,Rock,AC/DC,1,,
12,Breaking The Rules,MPEG audio file,Rock,AC/DC,1,,
13,Night Of The Long Knives,MPEG audio file,Rock,AC/DC,1,,
14,Spellbound,MPEG audio file,Rock,AC/DC,1,,
15,Go Down,MPEG audio file,Rock,AC/DC,1,,
16,Dog Eat Dog,MPEG audio file,Rock,AC/DC,1,,
17,Let There Be Rock,MPEG audio file,Rock,AC/DC,1,,
18,Bad Boy Boogie,MPEG audio file,Rock,AC/DC,1,,
19,Problem Child,MPEG audio file,Rock,AC/DC,1,,
20,Overdose,MPEG audio file,Rock,AC/DC,1,,
21,Hell Ain't A Bad Place To Be,MPEG audio file,Rock,AC/DC,1,,
22,Whole Lotta Rosie,MPEG audio file,Rock,AC/DC,1,,
23,Walk On Water,MPEG audio file,Rock,Aerosmith,1,,
24,Love In An Elevator,MPEG audio file,Rock,Aerosmith,1,,
25,Rag Doll,MPEG audio file,Rock,Aerosmith,1,,
26,What It Takes,MPEG audio file,Rock,Aerosmith,1,,
27,Dude (Looks Like A Lady),MPEG audio file,Rock,Aerosmith,1,,
28,Janie's Got A Gun,MPEG audio file,Rock,Aerosmith,1,,
