TrackId,GenreId,AlbumId,PlaylistTrackViews,Milliseconds,SumTimeViews,IsCurrent,StartDate,EndDate
2585,6,210,2,361978,723956,1,,
2253,17,184,3,410409,1231227,1,,
1921,7,158,3,275748,827244,1,,
1589,1,128,2,258168,516336,1,,
3249,20,253,2,2924007,5848014,1,,
2917,19,230,2,2617784,5235568,1,,
902,6,72,3,208143,624429,1,,
1234,3,96,3,431333,1293999,1,,
1898,3,156,2,345547,691094,1,,
2562,3,207,2,205897,411794,1,,
23,1,5,3,295680,887040,1,,
687,1,54,2,186044,372088,1,,
355,1,31,2,272561,545122,1,,
1566,1,126,3,226377,679131,1,,
2230,1,183,2,214595,429190,1,,
3226,20,253,2,2952702,5905404,1,,
2894,19,230,2,2619462,5238924,1,,
2539,6,205,2,163422,326844,1,,
1042,12,83,2,89730,179460,1,,
215,7,21,4,190589,762356,1,,
879,7,71,2,166608,333216,1,,
378,7,33,2,271647,543294,1,,
1374,3,110,2,273998,547996,1,,
1543,16,124,2,208457,416914,1,,
1875,3,154,2,397740,795480,1,,
46,1,6,3,280607,841821,1,,
710,1,55,2,237374,474748,1,,
547,1,43,2,758648,1517296,1,,
1211,1,94,2,431262,862524,1,,
2207,1,182,3,206968,620904,1,,
69,2,8,2,253178,506356,1,,
1188,2,93,3,361012,1083036,1,,
524,7,23,3,299676,899028,1,,
733,7,57,2,227500,455000,1,,
856,7,69,3,267728,803184,1,,
1065,7,84,3,322821,968463,1,,
1520,7,123,3,252238,756714,1,,
1729,7,143,2,346070,692140,1,,
2061,7,167,3,228754,686262,1,,
401,7,34,2,280137,560274,1,,
192,3,19,3,509413,1528239,1,,
1397,1,113,3,253413,760239,1,,
501,7,41,4,202213,808852,1,,
2084,7,169,2,189178,378356,1,,
1420,14,115,3,168228,504684,1,,
756,1,59,2,620460,1240920,1,,
3086,1,244,2,210546,421092,1,,
2748,1,221,2,161280,322560,1,,
3435,24,302,5,243436,1217180,1,,
2771,7,223,2,159791,319582,1,,
2107,3,174,2,172120,344240,1,,
1443,1,116,3,157100,471300,1,,
2794,4,224,3,184946,554838,1,,
1048,12,83,2,266605,533210,1,,
209,7,21,3,221936,665808,1,,
3458,14,321,2,191933,383866,1,,
3040,8,241,3,334524,1003572,1,,
1712,1,141,2,190354,380708,1,,
2376,1,194,2,259213,518426,1,,
2130,10,176,3,212297,636891,1,,
2817,4,225,3,251115,753345,1,,
3481,24,326,5,387826,1939130,1,,
1735,7,143,2,146703,293406,1,,
2276,1,186,2,184737,369474,1,,
2399,1,195,3,240300,720900,1,,
2940,1,233,2,227552,455104,1,,
3063,1,242,2,65488,130976,1,,
919,6,73,3,203363,610089,1,,
1251,13,98,2,304509,609018,1,,
670,7,53,2,244793,489586,1,,
1002,1,80,2,265848,531696,1,,
1998,1,163,3,163761,491283,1,,
232,7,23,2,172120,344240,1,,
1689,7,140,3,271229,813687,1,,
564,7,45,2,307252,614504,1,,
1357,3,108,2,386821,773642,1,,
2685,1,217,3,234893,704679,1,,
361,10,32,2,273920,547840,1,,
3232,20,253,2,2925008,5850016,1,,
965,4,77,2,294008,588016,1,,
2293,4,188,2,235911,471822,1,,
1297,3,102,2,261955,523910,1,,
2625,1,213,3,258768,776304,1,,
610,2,49,2,907520,1815040,1,,
278,7,25,3,248372,745116,1,,
315,7,28,2,253492,506984,1,,
1938,7,159,2,135732,271464,1,,
1606,1,130,2,197198,394396,1,,
169,4,18,3,317936,953808,1,,
3418,24,287,5,189008,945040,1,,
418,3,35,3,287973,863919,1,,
1503,1,121,3,288227,864681,1,,
1752,1,144,2,569704,1139408,1,,
424,1,36,3,387761,1163283,1,,
3080,1,243,3,366053,1098159,1,,
2831,18,227,2,2624207,5248414,1,,
1105,7,73,4,324780,1299120,1,,
816,1,66,3,356963,1070889,1,,
2144,1,177,2,326426,652852,1,,
2439,1,141,3,235232,705696,1,,
2980,1,236,3,285753,857259,1,,
3372,23,269,3,244226,732678,1,,
2044,7,167,3,287059,861177,1,,
3126,7,247,2,191686,383372,1,,
2877,19,230,2,2631327,5262654,1,,
3272,9,255,2,187546,375092,1,,
2190,1,180,2,251010,502020,1,,
2731,1,221,2,125152,250304,1,,
2336,4,191,3,121652,364956,1,,
2502,4,202,2,242155,484310,1,,
3498,24,342,5,493573,2467865,1,,
1506,7,122,2,310073,620146,1,,
1838,3,150,2,311327,622654,1,,
2004,1,164,4,254928,1019712,1,,
3000,1,237,2,195604,391208,1,,
2359,4,193,3,216790,650370,1,,
3355,1,265,2,199923,399846,1,,
2857,19,229,2,2636970,5273940,1,,
3378,23,270,2,256764,513528,1,,
1457,15,118,3,289854,869562,1,,
464,2,38,3,316865,950595,1,,
132,3,14,2,246987,493974,1,,
1128,3,88,2,252760,505520,1,,
793,1,63,3,311693,935079,1,,
2124,1,175,3,246465,739395,1,,
2479,4,201,2,266893,533786,1,,
3143,3,141,3,337005,1011015,1,,
